Age,Experience_Years,Salary,City,Education_Level,Performance_Score,Working_Hours_Per_Week,Random_Noise_Text
20.0,21.0,81086.0,Chennai,Bachelors,7.504843403460779,44.0,
35.0,30.0,35674.0,Delhi,PhD,7.291322654303698,50.0,rsFUOEbM
43.0,15.0,56105.0,Bhubaneswar,PhD,2.715327982680152,69.0,
28.0,14.0,111618.0,Mumbai,Bachelors,8.521594893906492,62.0,
23.0,27.0,132053.0,Chennai,,unknown,26.0,peVYSkBj
24.0,27.0,155593.0,Bhubaneswar,Bachelors,5.511024770798325,59.0,
42.0,24.0,76714.0,Bhubaneswar,masters ,2.0861792434665514,27.0,amqRCijR
42.0,31.0,144083.0,Mumbai,PhD,4.63219406105816,28.0,
41.0,19.0,131477.0,Delhi,Diploma,7.853518507168674,56.0,
,20.0,59899.0,Kolkata,Diploma,6.059905188260188,49.0,
66.0,27.0,83711.0,Bhubaneswar,Masters,6.171606501882076,58.0,AYWwMAav
60.0,27.0,56444.0,,PhD,4.142058687231623,38.0,
35.0,18.0,47916.0,Delhi,Masters,6.9562103641972,28.0,qSMkssxE
30.0,9.0,157357.0,Bhubaneswar,Bachelors,1.850372392582095,55.0,
hlCqe,15.0,31774.0,Bhubaneswar,Masters,9.090361511389016,47.0,
55.0,15.0,49107.0,Chennai,Masters,9.37587108213258,40.0,
65.0,15.0,52916.0,Chennai,Diploma,5.363319748841081,20.0,HmeGIstF
49.0,27.0,20247.0,Chennai,Bachelors,3.6773762599283186,58.0,
,12.0,38058.0,Delhi,Diploma,1.947530881776761,29.0,
30.0,29.0,71944.0,Kolkata,PhD,1.8262014295077071,57.0,edXpREUZ
,25.0,129334.0,Bhubaneswar,Diploma,1.6280673668440386,52.0,
22.0,20.0,106262.0,Mumbai,Masters,9.052567846016753,41.0,odyAoSbL
61.0,16.0,175299.0,Mumbai,PhD,7.514324301593312,47.0,
66.0,2.0,77465.0,Mumbai,Masters,5.149735915823678,68.0,
38.0,14.0,84194.0,Mumbai,Diploma,8.670096615740473,46.0,
58.0,33.0,,Bhubaneswar,PhD,1.701987077521929,21.0,
42.0,5.0,198931.0,Delhi,Diploma,3.622672567322402,62.0,oFOsREIC
43.0,5.0,24340.0,Delhi,Masters,7.6381831515061975,62.0,
47.0,24.0,49482.0,Kolkata,Bachelors,1.754993820139258,22.0,
44.0,16.0,91420.0,Bhubaneswar,PhD,4.183222969970243,32.0,
32.0,13.0,164947.0,Chennai,masters ,2.111815478968011,47.0,WqycUlfD
22.0,34.0,50702.0,Mumbai,masters ,3.7701918443635534,27.0,mBplDeVJ
34.0,35.0,125385.0,Delhi,Bachelors,2.1075340954959287,43.0,AXrSrzEx
55.0,27.0,115406.0,Mumbai,PhD,8.68090918541937,22.0,PaZdMSVs
25.0,6.0,164666.0,Kolkata,Bachelors,9.071031525159736,44.0,
19.0,29.0,88866.0,Mumbai,Masters,6.085374897837207,64.0,
69.0,,86512.0,Bhubaneswar,Masters,5.709682759108213,42.0,
19.0,24.0,41444.0,Delhi,PhD,6.5657797645760825,62.0,
45.0,16.0,69700.0,Delhi,Masters,2.4447729432809666,57.0,
56.0,39.0,139682.0,Chennai,Diploma,9.248914478162083,56.0,
53.0,31.0,,,PhD,1.3713847868586024,46.0,
36.0,27.0,83001.0,Delhi,Diploma,4.31104672714805,21.0,
63.0,29.0,194031.0,Kolkata,Diploma,7.561192742589608,69.0,CrfGytAo
47.0,18.0,104164.0,Kolkata,PhD,2.39262544905605,47.0,
62.0,12.0,,Kolkata,Bachelors,5.371005597824054,29.0,
67.0,1.0,34679.0,Mumbai,Masters,1.9445982451892196,52.0,
61.0,35.0,34251.0,  mumbai  ,Masters,9.903130311918458,26.0,CPKXqHmf
34.0,38.0,187399.0,Chennai,PhD,2.7266887455427877,57.0,ZQDEmhor
40.0,26.0,59826.0,Chennai,Bachelors,7.286952431766106,47.0,
21.0,18.0,37036.0,Chennai,Bachelors,3.19242775530571,67.0,
64.0,34.0,122341.0,Bhubaneswar,Diploma,4.112677338742518,,WjobRcMv
,8.0,,Delhi,Diploma,3.1948338500507405,46.0,
19.0,7.0,86310.0,Delhi,,7.556172077844462,48.0,
52.0,29.0,95952.0,Chennai,Masters,6.5757563539097585,21.0,
55.0,14.0,153099.0,Kolkata,Bachelors,2.308133314881505,49.0,
42.0,37.0,59602.0,,PhD,9.374693894261599,37.0,
24.0,14.0,185011.0,Mumbai,PhD,3.460057364172343,66.0,
40.0,12.0,71929.0,  mumbai  ,PhD,8.241772937214957,55.0,dtZVymjy
48.0,32.0,836130.0,Chennai,Bachelors,1.309855287016674,51.0,
40.0,29.0,69282.0,Chennai,Bachelors,2.6164632364872524,39.0,
60.0,22.0,41366.0,Mumbai,Bachelors,6.322775147056446,23.0,
55.0,22.0,126610.0,Mumbai,Bachelors,2.9981374562054257,46.0,
21.0,31.0,134672.0,Bhubaneswar,PhD,4.798024344821602,53.0,
26.0,31.0,39705.0,Delhi,Masters,2.599249110048431,45.0,
,28.0,,Kolkata,Masters,2.3050529214851414,43.0,utODoBsQ
68.0,21.0,187090.0,Mumbai,Masters,,29.0,NgCGmGLL
49.0,8.0,66923.0,Chennai,Diploma,7.902678035833597,54.0,xmmqGZyc
36.0,26.0,58217.0,Bhubaneswar,Diploma,6.1876286645650085,34.0,
24.0,,31706.0,Delhi,Diploma,5.916909672422906,,
34.0,17.0,95961.0,,Masters,3.346638575063054,40.0,XjYPqGVW
22.0,7.0,182631.0,Delhi,Diploma,3.781863000407651,59.0,moLxRyfV
63.0,9.0,79593.0,Chennai,PhD,7.914195729763904,28.0,
67.0,21.0,23888.0,Chennai,PhD,3.5450068701343485,49.0,
18.0,18.0,175974.0,Delhi,Diploma,6.76202813236377,47.0,kpTQQuxE
,3.0,120665.0,  mumbai  ,,6.173991178289581,48.0,
64.0,33.0,20533.0,Mumbai,Bachelors,8.412567274256,41.0,
49.0,34.0,169021.0,Chennai,Masters,6.132375301001009,60.0,bMfQLJdv
63.0,39.0,72684.0,,Bachelors,3.9306060013901662,58.0,
32.0,12.0,34481.0,Kolkata,PhD,4.004178793261173,49.0,
42.0,7.0,139240.0,Chennai,PhD,2.1070887362874418,28.0,
23.0,15.0,65056.0,Delhi,PhD,3.7931559154160093,31.0,
50.0,24.0,100650.0,Mumbai,PhD,6.194330451256202,37.0,
57.0,22.0,40620.0,Delhi,Bachelors,4.131597460057122,35.0,JRSAatoV
25.0,25.0,162515.0,Bhubaneswar,Masters,8.842242449687456,50.0,GhvNMYgs
22.0,0.0,59007.0,Chennai,Bachelors,8.950565808872877,68.0,
57.0,,138501.0,Mumbai,Masters,6.262856218106302,33.0,
37.0,33.0,91986.0,Bhubaneswar,Masters,8.98265300568076,57.0,
30.0,29.0,183740.0,Kolkata,Masters,9.003707842354764,,
38.0,35.0,25174.0,Delhi,Bachelors,9.099716179738987,52.0,
47.0,1.0,1942530.0,Delhi,Masters,7.4595432487824676,62.0,
41.0,39.0,2745720.0,Mumbai,Masters,8.666536328666993,53.0,
31.0,22.0,,Chennai,Diploma,8.036141774853165,64.0,dsyymdcn
65.0,4.0,35205.0,Bhubaneswar,Masters,7.751295610843187,25.0,eWtbzICt
69.0,15.0,56738.0,Delhi,Masters,2.085183775091802,26.0,
26.0,,159352.0,Bhubaneswar,Diploma,4.979945388192523,32.0,
41.0,14.0,115711.0,Delhi,Diploma,8.7457606184328,65.0,
hlCqe,9.0,82904.0,Bhubaneswar,PhD,6.699090346022917,51.0,PwCSIIoB
32.0,10.0,51528.0,Kolkata,Bachelors,,45.0,EJWxHKTP
20.0,14.0,167847.0,Mumbai,PhD,9.440343161429134,61.0,
44.0,8.0,96185.0,Mumbai,Masters,1.7418151696254243,69.0,
26.0,20.0,179104.0,Bhubaneswar,Diploma,1.229563024341965,24.0,pRwqwmrk
20.0,28.0,140825.0,Mumbai,PhD,6.355149844151279,46.0,
38.0,21.0,156977.0,Mumbai,Diploma,2.8415834861023033,27.0,
40.0,2.0,131709.0,Kolkata,Bachelors,,62.0,
41.0,9.0,21280.0,Kolkata,Diploma,3.8384242375163597,22.0,
61.0,9.0,1142550.0,Mumbai,Bachelors,5.9984289203484185,51.0,
33.0,1.0,27721.0,Bhubaneswar,Diploma,4.005201752216287,42.0,
,5.0,34849.0,Kolkata,Masters,3.2246935166312913,60.0,
37.0,15.0,168694.0,Chennai,Diploma,7.577603520836006,32.0,
50.0,6.0,111602.0,Bhubaneswar,Diploma,4.271695350225925,25.0,
50.0,7.0,20296.0,Mumbai,,4.819627402710184,52.0,
59.0,24.0,22134.0,Mumbai,Bachelors,1.68879651322177,45.0,bpazoIbY
63.0,33.0,149110.0,Mumbai,Diploma,2.4607530965829874,57.0,
62.0,11.0,,Mumbai,PhD,4.281787066694552,41.0,
52.0,35.0,74012.0,Mumbai,Diploma,6.344893584444396,68.0,
55.0,7.0,59651.0,Delhi,masters ,,33.0,
38.0,30.0,113870.0,Delhi,Bachelors,7.559440334767917,39.0,
,34.0,29737.0,,,3.3140493111503346,25.0,
48.0,0.0,182685.0,Kolkata,PhD,4.5268596042438745,48.0,
62.0,21.0,120850.0,Bhubaneswar,Masters,8.21090917852321,27.0,
21.0,31.0,142879.0,Delhi,PhD,8.589739949588697,60.0,
20.0,36.0,38665.0,Mumbai,PhD,unknown,44.0,yIDXPgzF
31.0,1.0,25150.0,Kolkata,PhD,9.077590210698258,,SyorScPv
66.0,20.0,49236.0,Mumbai,masters ,9.026776226992551,36.0,
45.0,17.0,27207.0,Delhi,Masters,3.0187776370088923,52.0,
54.0,17.0,38228.0,Mumbai,PhD,4.0389716100985815,58.0,rMfJeuAW
55.0,17.0,128538.0,Chennai,PhD,9.607198821832366,58.0,
51.0,11.0,135796.0,Chennai,Bachelors,3.3045474636243592,39.0,
64.0,32.0,53050.0,Mumbai,Bachelors,5.569158740369019,38.0,
26.0,16.0,179701.0,Chennai,PhD,3.259170850864594,46.0,
46.0,27.0,178015.0,Delhi,Diploma,6.501592087192525,60.0,LJdFNAcJ
69.0,9.0,171818.0,Bhubaneswar,Masters,9.823384987619244,34.0,GrXnTXKN
34.0,7.0,44727.0,Chennai,Masters,3.0717977719770193,47.0,
